,Name,Team,Number,Position,Age,Salary
381,Marcus Thornton,Washington Wizards,15.0,SF,29.0,200600.0
382,John Wall,Washington Wizards,2.0,PG,25.0,15851950.0
383,Darrell Arthur,Denver Nuggets,0.0,PF,28.0,2814000.0
384,D.J. Augustin,Denver Nuggets,12.0,PG,28.0,3000000.0
385,Will Barton,Denver Nuggets,5.0,SF,25.0,3533333.0
386,Wilson Chandler,Denver Nuggets,21.0,SF,29.0,10449438.0
387,Kenneth Faried,Denver Nuggets,35.0,PF,26.0,11235955.0
388,Danilo Gallinari,Denver Nuggets,8.0,SF,27.0,14000000.0
389,Gary Harris,Denver Nuggets,14.0,SG,21.0,1584480.0
390,Nikola Jokic,Denver Nuggets,15.0,C,21.0,1300000.0
391,Joffrey Lauvergne,Denver Nuggets,77.0,C,24.0,1709719.0
392,Mike Miller,Denver Nuggets,3.0,SG,36.0,947276.0
393,Emmanuel Mudiay,Denver Nuggets,0.0,PG,20.0,3102240.0
394,Jameer Nelson,Denver Nuggets,1.0,PG,34.0,4345000.0
395,Jusuf Nurkic,Denver Nuggets,23.0,C,21.0,1842000.0
396,JaKarr Sampson,Denver Nuggets,9.0,SG,23.0,258489.0
397,Axel Toupane,Denver Nuggets,6.0,SG,23.0,
398,Nemanja Bjelica,Minnesota Timberwolves,88.0,PF,28.0,3950001.0
399,Gorgui Dieng,Minnesota Timberwolves,5.0,C,26.0,1474440.0
400,Kevin Garnett,Minnesota Timberwolves,21.0,PF,40.0,8500000.0
401,Tyus Jones,Minnesota Timberwolves,1.0,PG,20.0,1282080.0
402,Zach LaVine,Minnesota Timberwolves,8.0,PG,21.0,2148360.0
403,Shabazz Muhammad,Minnesota Timberwolves,15.0,SF,23.0,2056920.0
404,Adreian Payne,Minnesota Timberwolves,33.0,PF,25.0,1938840.0
405,Nikola Pekovic,Minnesota Timberwolves,14.0,C,30.0,12100000.0
406,Tayshaun Prince,Minnesota Timberwolves,12.0,SF,36.0,947276.0
407,Ricky Rubio,Minnesota Timberwolves,9.0,PG,25.0,12700000.0
408,Damjan Rudez,Minnesota Timberwolves,10.0,SF,29.0,1149500.0
409,Greg Smith,Minnesota Timberwolves,4.0,PF,25.0,
410,Karl-Anthony Towns,Minnesota Timberwolves,32.0,C,20.0,5703600.0
411,Andrew Wiggins,Minnesota Timberwolves,22.0,SG,21.0,5758680.0
412,Steven Adams,Oklahoma City Thunder,12.0,C,22.0,2279040.0
413,Nick Collison,Oklahoma City Thunder,4.0,PF,35.0,3750000.0
414,Kevin Durant,Oklahoma City Thunder,35.0,SF,27.0,20158622.0
415,Randy Foye,Oklahoma City Thunder,6.0,SG,32.0,3135000.0
416,Josh Huestis,Oklahoma City Thunder,34.0,SF,24.0,1140240.0
417,Serge Ibaka,Oklahoma City Thunder,9.0,PF,26.0,12250000.0
418,Enes Kanter,Oklahoma City Thunder,11.0,C,24.0,16407500.0
419,Mitch McGary,Oklahoma City Thunder,33.0,PF,24.0,1463040.0
420,Nazr Mohammed,Oklahoma City Thunder,13.0,C,38.0,222888.0
421,Anthony Morrow,Oklahoma City Thunder,2.0,SG,30.0,3344000.0
422,Cameron Payne,Oklahoma City Thunder,22.0,PG,21.0,2021520.0
423,Andre Roberson,Oklahoma City Thunder,21.0,SG,24.0,1210800.0
424,Kyle Singler,Oklahoma City Thunder,5.0,SF,28.0,4500000.0
425,Dion Waiters,Oklahoma City Thunder,3.0,SG,24.0,5138430.0
426,Russell Westbrook,Oklahoma City Thunder,0.0,PG,27.0,16744218.0
427,Cliff Alexander,Portland Trail Blazers,34.0,PF,20.0,525093.0
428,Al-Farouq Aminu,Portland Trail Blazers,8.0,SF,25.0,8042895.0
429,Pat Connaughton,Portland Trail Blazers,5.0,SG,23.0,625093.0
430,Allen Crabbe,Portland Trail Blazers,23.0,SG,24.0,947276.0
431,Ed Davis,Portland Trail Blazers,17.0,C,27.0,6980802.0
432,Maurice Harkless,Portland Trail Blazers,4.0,SF,23.0,2894059.0
433,Gerald Henderson,Portland Trail Blazers,9.0,SG,28.0,6000000.0
434,Chris Kaman,Portland Trail Blazers,35.0,C,34.0,5016000.0
435,Meyers Leonard,Portland Trail Blazers,11.0,PF,24.0,3075880.0
436,Damian Lillard,Portland Trail Blazers,0.0,PG,25.0,4236287.0
437,C.J. McCollum,Portland Trail Blazers,3.0,SG,24.0,2525160.0
438,Luis Montero,Portland Trail Blazers,44.0,SG,23.0,525093.0
439,Mason Plumlee,Portland Trail Blazers,24.0,C,26.0,1415520.0
440,Brian Roberts,Portland Trail Blazers,2.0,PG,30.0,2854940.0
441,Noah Vonleh,Portland Trail Blazers,21.0,PF,20.0,2637720.0
442,Trevor Booker,Utah Jazz,33.0,PF,28.0,4775000.0
443,Trey Burke,Utah Jazz,3.0,PG,23.0,2658240.0
444,Alec Burks,Utah Jazz,10.0,SG,24.0,9463484.0
445,Dante Exum,Utah Jazz,11.0,PG,20.0,3777720.0
446,Derrick Favors,Utah Jazz,15.0,PF,24.0,12000000.0
447,Rudy Gobert,Utah Jazz,27.0,C,23.0,1175880.0
448,Gordon Hayward,Utah Jazz,20.0,SF,26.0,15409570.0
449,Rodney Hood,Utah Jazz,5.0,SG,23.0,1348440.0
450,Joe Ingles,Utah Jazz,2.0,SF,28.0,2050000.0
451,Chris Johnson,Utah Jazz,23.0,SF,26.0,981348.0
452,Trey Lyles,Utah Jazz,41.0,PF,20.0,2239800.0
453,Shelvin Mack,Utah Jazz,8.0,PG,26.0,2433333.0
454,Raul Neto,Utah Jazz,25.0,PG,24.0,900000.0
455,Tibor Pleiss,Utah Jazz,21.0,C,26.0,2900000.0
456,Jeff Withey,Utah Jazz,24.0,C,26.0,947276.0
