P.J. Tucker,Phoenix Suns,17.0,SF,31.0,5500000.0
T.J. Warren,Phoenix Suns,12.0,SF,22.0,2041080.0
Alan Williams,Phoenix Suns,15.0,C,23.0,83397.0
Quincy Acy,Sacramento Kings,13.0,SF,25.0,981348.0
James Anderson,Sacramento Kings,5.0,SG,27.0,1015421.0
Marco Belinelli,Sacramento Kings,3.0,SG,30.0,6060606.0
Caron Butler,Sacramento Kings,31.0,SF,36.0,1449187.0
Omri Casspi,Sacramento Kings,18.0,SF,27.0,2836186.0
Willie Cauley-Stein,Sacramento Kings,0.0,C,22.0,3398280.0
Darren Collison,Sacramento Kings,7.0,PG,28.0,5013559.0
DeMarcus Cousins,Sacramento Kings,15.0,C,25.0,15851950.0
Seth Curry,Sacramento Kings,30.0,SG,25.0,947276.0
Duje Dukan,Sacramento Kings,26.0,PF,24.0,525093.0
Rudy Gay,Sacramento Kings,8.0,SF,29.0,12403101.0
Kosta Koufos,Sacramento Kings,41.0,C,27.0,7700000.0
Ben McLemore,Sacramento Kings,23.0,SG,23.0,3156600.0
Eric Moreland,Sacramento Kings,25.0,PF,24.0,845059.0
Rajon Rondo,Sacramento Kings,9.0,PG,30.0,9500000.0
Cameron Bairstow,Chicago Bulls,41.0,PF,25.0,845059.0
Aaron Brooks,Chicago Bulls,0.0,PG,31.0,2250000.0
Jimmy Butler,Chicago Bulls,21.0,SG,26.0,16407500.0
Mike Dunleavy,Chicago Bulls,34.0,SG,35.0,4500000.0
Cristiano Felicio,Chicago Bulls,6.0,PF,23.0,525093.0
Pau Gasol,Chicago Bulls,16.0,C,35.0,7448760.0
Taj Gibson,Chicago Bulls,22.0,PF,30.0,8500000.0
Justin Holiday,Chicago Bulls,7.0,SG,27.0,947276.0
Doug McDermott,Chicago Bulls,3.0,SF,24.0,2380440.0
Nikola Mirotic,Chicago Bulls,44.0,PF,25.0,5543725.0
E'Twaun Moore,Chicago Bulls,55.0,SG,27.0,1015421.0
Joakim Noah,Chicago Bulls,13.0,C,31.0,13400000.0
